City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kintinku,-5.8833,35.2333,20.76,73,51,1.67,TZ,1683237863
84,port lincoln,-34.7333,135.8667,14.79,82,100,5.59,AU,1683237863
85,yuxia,34.0615,108.6291,15.34,69,67,2.32,CN,1683237863
86,kodiak,57.79,-152.4072,5.73,87,100,3.6,US,1683237864
87,dudinka,69.4058,86.1778,-13.54,90,66,2.51,RU,1683237864
88,alpine,32.835,-116.7664,16.4,60,82,4.92,US,1683237609
89,yellowknife,62.456,-114.3525,13.29,41,20,5.66,CA,1683237666
90,manokwari,-0.8667,134.0833,26.81,80,26,1.36,ID,1683237865
91,crucecita,-28.95,-58.9833,16.77,98,100,1.01,AR,1683237865
92,makokou,0.5738,12.8642,21.81,92,100,1.15,GA,1683237865
93,pingnan,23.5543,110.3976,23.48,95,8,1.61,CN,1683237865
94,porto murtinho,-21.6989,-57.8825,24.52,70,91,2.43,BR,1683237865
95,geraldton,-28.7667,114.6,19.23,39,100,3.09,AU,1683237866
96,cooper's town,26.8667,-77.5167,25.6,73,5,4.77,BS,1683237866
97,angleton,29.1694,-95.4319,28.41,84,100,4.63,US,1683237866
98,yaren,-0.5472,166.916,28.44,75,49,4.0,NR,1683237866
99,nuuk,64.1835,-51.7216,2.34,93,75,1.54,GL,1683237817
100,klyuchi,52.2667,79.1667,8.52,40,83,3.31,RU,1683237867
101,carutapera,-1.195,-46.02,25.2,91,100,2.82,BR,1683237831
102,tari,12.4086,4.4914,34.75,18,8,3.18,NG,1683237867
103,invercargill,-46.4,168.35,12.9,83,85,2.43,NZ,1683237867
104,enriquillo,17.9,-71.2333,29.82,68,71,3.97,DO,1683237868
105,walvis bay,-22.9575,14.5053,13.94,88,1,1.54,NA,1683237868
106,hithadhoo,-0.6,73.0833,26.73,83,100,10.07,MV,1683237868
107,hasaki,35.7333,140.8333,18.45,72,59,8.17,JP,1683237868
108,avarua,-21.2078,-159.775,26.03,89,75,9.26,CK,1683237868
109,mil'kovo,55.6078,37.7956,9.08,67,94,1.86,RU,1683237869
110,hobyo,5.3505,48.5268,28.0,81,7,9.31,SO,1683237869
111,saldanha,-33.0117,17.9442,13.03,82,0,5.96,ZA,1683237869
112,las trojes,14.0667,-85.9833,31.9,28,5,4.97,HN,1683237869
113,jabor,5.921,169.6434,27.11,80,100,2.88,MH,1683237869
114,island harbour,50.724,-1.2758,13.42,91,98,2.24,GB,1683237870
115,zaozersk,69.4005,32.4476,-4.67,84,100,3.31,RU,1683237870
116,milngavie,55.9407,-4.3231,8.26,77,20,8.23,GB,1683237870
117,ust-nera,64.5667,143.2,-1.02,85,100,2.86,RU,1683237870
118,nageswari,25.9688,89.693,22.83,81,12,2.59,BD,1683237870
119,tulum,20.2167,-87.4667,29.79,65,0,3.56,MX,1683237871
120,tukrah,32.5341,20.5791,16.91,86,12,5.37,LY,1683237871
121,oriximina,-1.7656,-55.8661,25.5,90,66,1.97,BR,1683237646
122,mangrol,21.1167,70.1167,26.84,75,8,3.95,IN,1683237871
123,sumbe,-11.2061,13.8437,25.47,88,2,1.74,AO,1683237871
124,qaqortoq,60.7167,-46.0333,1.9,68,16,1.39,GL,1683237872
125,viedma,-40.8135,-62.9967,15.74,51,100,2.75,AR,1683237872
126,nova xavantina,-14.6667,-52.35,23.06,65,4,1.2,BR,1683237637
127,sovetskaya gavan',48.9723,140.2878,4.57,67,53,0.47,RU,1683237872
128,quelimane,-17.8786,36.8883,22.97,78,75,0.0,MZ,1683237872
129,tsiombe,-25.3,45.4833,20.22,81,0,3.81,MG,1683237873
130,happy valley-goose bay,53.3168,-60.3315,7.17,57,20,5.14,CA,1683237873
131,maceio,-9.6658,-35.7353,25.69,88,75,2.57,BR,1683237613
132,kapa'a,22.0752,-159.319,28.99,73,75,4.02,US,1683237766
133,ad dabbah,18.05,30.95,30.05,7,91,3.99,SD,1683237873
134,apia,-13.8333,-171.7667,28.95,75,33,7.4,WS,1683237636
135,mezhdurechensk,53.6942,88.0603,0.52,88,50,1.3,RU,1683237874
136,libenge,3.65,18.6333,24.88,67,17,0.79,CD,1683237874
137,la ronge,55.1001,-105.2842,23.14,18,40,7.2,CA,1683237874
138,quesnel,52.9999,-122.5029,25.28,38,0,2.06,CA,1683237874
139,labytnangi,66.6572,66.4183,-1.52,92,87,4.51,RU,1683237874
140,okha,53.5739,142.9478,-0.64,92,100,7.24,RU,1683237875
141,starotitarovskaya,45.2136,37.1439,11.26,81,99,1.73,RU,1683237875
142,tiksi,71.6872,128.8694,-16.55,83,23,7.25,RU,1683237875
143,bartica,6.4,-58.6167,28.18,66,39,2.83,GY,1683237875
144,port alberni,49.2413,-124.8028,18.81,76,100,0.89,CA,1683237875
145,betio village,1.358,172.9211,30.02,78,38,4.18,KI,1683237876
146,punta arenas,-53.15,-70.9167,7.06,81,20,4.63,CL,1683237876
147,albany,42.6001,-73.9662,12.98,70,100,2.32,US,1683237822
148,kilindoni,-7.9139,39.6668,27.02,70,1,5.21,TZ,1683237876
149,stanley,54.868,-1.6985,7.38,89,100,4.12,GB,1683237877
150,pamandzi,-12.7967,45.2794,24.88,94,0,0.0,YT,1683237685
151,howrah,22.5892,88.3103,25.0,83,75,2.57,IN,1683237877
152,chicoana,-25.1009,-65.5331,13.03,73,100,1.34,AR,1683237877
153,north platte,41.1239,-100.7654,28.51,33,56,5.36,US,1683237878
154,khorixas,-20.3667,14.9667,21.62,34,4,1.96,NA,1683237878
155,tofol,5.3248,163.0078,28.88,79,75,1.54,FM,1683237878
156,undurkhaan,47.3194,110.6556,3.04,31,28,0.93,MN,1683237878
157,hammerfest,70.6634,23.6821,1.25,80,75,3.6,NO,1683237878
